s_index_bin,consistency_group,n,avg_citations,pct_cited,pct_derivative,total_citations
1-10,Spiky (0.5-0.7),219,0.12906066536203523,30.59360730593607,18.72146118721461,0.547945205479452
1-10,Moderate (0.7-0.85),3533,0.23202559540657475,38.35267478063968,13.954146617605435,1.148315878856496
1-10,Consistent (>0.85),26078,0.23147469983212754,30.30523813175857,23.813175857044254,0.9085052534703582
11-20,Spiky (0.5-0.7),46,0.09418867269267726,32.608695652173914,10.869565217391305,1.434782608695652
11-20,Moderate (0.7-0.85),393,0.16522153917310253,26.717557251908396,11.195928753180661,2.1526717557251906
11-20,Consistent (>0.85),1525,0.11528842544215835,16.39344262295082,20.655737704918035,1.559344262295082
21-30,Spiky (0.5-0.7),26,0.0008434547908232118,3.8461538461538463,19.230769230769234,0.19230769230769232
21-30,Moderate (0.7-0.85),104,0.08019022348837795,32.69230769230769,20.192307692307693,2.4711538461538463
21-30,Consistent (>0.85),401,0.07525306667671598,19.45137157107232,13.715710723192021,1.8827930174563592
31-50,Spiky (0.5-0.7),8,0.08833108093212158,87.5,50.0,4.25
31-50,Moderate (0.7-0.85),58,0.10111445727488517,36.206896551724135,34.48275862068966,5.327586206896552
31-50,Consistent (>0.85),1117,0.0035105453197183875,8.773500447627573,2.5962399283795885,0.18442256042972247
